"Category","Subcategory","Enrichment","P-value","P-adjusted","Q-value","Observed","miRNAs/precursors"
"Target genes (miRTarBase)","EMSY","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","EPHA4","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","ERGIC2","enriched","0.0017805","0.0189655","0.0189655","9","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-363-3p; hsa-miR-302c-3p; hsa-miR-135a-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","ESR2","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","EXO5","enriched","3.81e-4","0.0189655","0.0189655","8","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-222-3p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","F2R","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","F2RL1","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","F2RL3","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","FAHD1","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","FAM160B1","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","FAM210A","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","FAM213A","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","FAM89A","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","FAXC","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","FBXL5","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","FBXL7","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","FBXO21","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-222-3p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","FEM1B","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","FHDC1","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","FICD","enriched","1.13e-4","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-222-3p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","FJX1","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","FMNL2","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","FNBP1L","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","FOXJ2","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","FOXJ3","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","FOXK2","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","FOXQ1","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","FOXRED2","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","FUT10","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","FXYD5","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","FZD9","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","GATA6","enriched","3.81e-4","0.0189655","0.0189655","8","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-363-3p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","GATAD1","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","GDF11","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","GDF5OS","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","GEMIN8","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","GLO1","enriched","3.81e-4","0.0189655","0.0189655","8","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-222-3p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","GOLGA2","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","GPR137B","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","GPR183","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","GPRIN3","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","GRK3","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","GRK7","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","GTF2H2C","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","GTF2IRD2","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","GTF2IRD2B","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","HAS2","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","HAUS8","enriched","3.81e-4","0.0189655","0.0189655","8","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-222-3p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","HBP1","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","HIST1H2BD","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","HIST1H2BG","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","HIST1H2BJ","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","HMBOX1","enriched","3.81e-4","0.0189655","0.0189655","8","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-222-3p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","HMGB3","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","HOOK3","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","HOXD11","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","HS3ST1","enriched","3.81e-4","0.0189655","0.0189655","8","hsa-miR-20b-5p; hsa-miR-144-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","HSPA4L","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","ICA1L","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","ICMT","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","IPP","enriched","4.19e-5","0.0189655","0.0189655","9","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-222-3p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-363-3p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","IRAK4","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","ISCA2","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","ISOC1","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","ISY1","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","ITGA2","enriched","0.0010385","0.0189655","0.0189655","9","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-18a-5p; hsa-miR-548d-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","ITGB1","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","KCNA7","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","KCNB1","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","KCND3","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","KCNJ8","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","KCNMB1","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","KIAA0232","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","KIAA0513","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","KIAA1191","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","KIAA1841","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","KIF23","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","KIF6","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","KLF10","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","KLF3","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","KLHL36","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","KLRD1","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","KMT2B","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","KMT5B","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","KPNA2","enriched","3.81e-4","0.0189655","0.0189655","8","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-222-3p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","KPNA6","enriched","3.81e-4","0.0189655","0.0189655","8","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-222-3p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","KRT10","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","LAPTM4A","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","LASP1","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","LDHD","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","LIAS","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","LIMA1","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","LIMK1","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","LLPH","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","LRIF1","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","LRP12","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","LRPAP1","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","LSM3","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","LY6G5B","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","LZIC","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","MAK16","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-222-3p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","MAN2B2","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","MANEAL","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","MAP3K2","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","MAP7","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","MAPK1","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
