"","total","expected","hits","Raw p","Holm p","FDR"
"Adenine phosphoribosyltransferase deficiency (APRT)",66,0.648,3,0.0262,1,0.241
"Adenosine Deaminase Deficiency",66,0.648,3,0.0262,1,0.241
"Adenylosuccinate Lyase Deficiency",66,0.648,3,0.0262,1,0.241
"AICA-Ribosiduria",66,0.648,3,0.0262,1,0.241
"Gout or Kelley-Seegmiller Syndrome",66,0.648,3,0.0262,1,0.241
"Lesch-Nyhan Syndrome (LNS)",66,0.648,3,0.0262,1,0.241
"Mitochondrial DNA depletion syndrome",66,0.648,3,0.0262,1,0.241
"Molybdenum Cofactor Deficiency",66,0.648,3,0.0262,1,0.241
"Myoadenylate deaminase deficiency",66,0.648,3,0.0262,1,0.241
"Purine Nucleoside Phosphorylase Deficiency",66,0.648,3,0.0262,1,0.241
"Xanthine Dehydrogenase Deficiency (Xanthinuria)",66,0.648,3,0.0262,1,0.241
"Xanthinuria type I",66,0.648,3,0.0262,1,0.241
"Xanthinuria type II",66,0.648,3,0.0262,1,0.241
"Long-chain-3-hydroxyacyl-coa dehydrogenase deficiency (LCHAD)",26,0.255,2,0.0263,1,0.242
"Purine metabolism",67,0.657,3,0.0272,1,0.249
"Selenoamino acid metabolism",67,0.657,3,0.0272,1,0.249
"GABA metabolism (aka GHB)",27,0.265,2,0.0282,1,0.256
"Tyrosine metabolism",68,0.667,3,0.0283,1,0.256
"Disulfiram Action Pathway",68,0.667,3,0.0283,1,0.256
"Metabolism of lipids",608,5.96,11,0.0287,1,0.256
"Defective SLC36A2 causes iminoglycinuria (IG) and hyperglycinuria (HG)",3,0.0294,1,0.0292,1,0.256
"Activation of AMPA receptors",3,0.0294,1,0.0292,1,0.256
"Activation of Ca-permeable Kainate Receptor",3,0.0294,1,0.0292,1,0.256
"Activation of Na-permeable kainate receptors",3,0.0294,1,0.0292,1,0.256
"Defective SLC6A5 causes hyperekplexia 3 (HKPX3)",3,0.0294,1,0.0292,1,0.256
"UCH proteinases",3,0.0294,1,0.0292,1,0.256
"Defective GCLC causes HAGGSD",3,0.0294,1,0.0292,1,0.256
"Fas ligand pathway and stress induction of heat shock proteins",3,0.0294,1,0.0292,1,0.256
"Prader-Willi and Angelman syndrome",3,0.0294,1,0.0292,1,0.256
"Lac-Phe pathway",3,0.0294,1,0.0292,1,0.256
"Serotonin receptor 2 and ELK-SRF/GATA4 signaling",3,0.0294,1,0.0292,1,0.256
"Fatty Acid Elongation In Mitochondria",28,0.275,2,0.0302,1,0.264
"Kynurenine pathway and links to cell senescence",28,0.275,2,0.0302,1,0.264
"Aflatoxin activation and detoxification",29,0.285,2,0.0323,1,0.279
"Glutathione conjugation",29,0.285,2,0.0323,1,0.279
"Synthesis of Leukotrienes (LT) and Eoxins (EX)",29,0.285,2,0.0323,1,0.279
"Paracetamol ADME",30,0.294,2,0.0344,1,0.295
"Lysine catabolism",30,0.294,2,0.0344,1,0.295
"Metabolic reprogramming in pancreatic cancer",30,0.294,2,0.0344,1,0.295
"Gluconeogenesis",31,0.304,2,0.0365,1,0.31
"The oncogenic action of 2-hydroxyglutarate",31,0.304,2,0.0365,1,0.31
"The oncogenic action of D-2-hydroxyglutarate in  Hydroxygluaricaciduria",31,0.304,2,0.0365,1,0.31
"The oncogenic action of L-2-hydroxyglutarate in  Hydroxygluaricaciduria",31,0.304,2,0.0365,1,0.31
"GABA synthesis",4,0.0392,1,0.0387,1,0.318
"Phenylketonuria",4,0.0392,1,0.0387,1,0.318
"Oleoyl-phe metabolism",4,0.0392,1,0.0387,1,0.318
"Ionotropic activity of kainate receptors",4,0.0392,1,0.0387,1,0.318
"Activation of kainate receptors upon glutamate binding",4,0.0392,1,0.0387,1,0.318
"Defective GSS causes GSS deficiency",4,0.0392,1,0.0387,1,0.318
"Defective MAOA causes BRUNS",4,0.0392,1,0.0387,1,0.318
"Proton/oligopeptide cotransporters",4,0.0392,1,0.0387,1,0.318
"Methylhistidine Metabolism",4,0.0392,1,0.0387,1,0.318
"Common pathways underlying drug addiction",4,0.0392,1,0.0387,1,0.318
"Parkinson's disease pathway",4,0.0392,1,0.0387,1,0.318
"15q13.3 copy number variation syndrome",4,0.0392,1,0.0387,1,0.318
"TNF-alpha signaling pathway",4,0.0392,1,0.0387,1,0.318
"Mercaptopurine Action Pathway",80,0.785,3,0.0428,1,0.349
"Histidine metabolism",34,0.334,2,0.0432,1,0.349
"Propanoate metabolism",34,0.334,2,0.0432,1,0.349
"Histidinemia",34,0.334,2,0.0432,1,0.349
"Malonic Aciduria",34,0.334,2,0.0432,1,0.349
"Malonyl-coa decarboxylase deficiency",34,0.334,2,0.0432,1,0.349
"Methylmalonic Aciduria Due to Cobalamin-Related Disorders",34,0.334,2,0.0432,1,0.349
"Metabolism of sphingolipids in ER and Golgi apparatus",34,0.334,2,0.0432,1,0.349
"Thioguanine Action Pathway",81,0.795,3,0.0442,1,0.355
"Hemostasis",82,0.804,3,0.0455,1,0.357
"Azathioprine Action Pathway",82,0.804,3,0.0455,1,0.357
"Platelet homeostasis",35,0.343,2,0.0456,1,0.357
"Carnitine palmitoyl transferase deficiency (I)",35,0.343,2,0.0456,1,0.357
"Carnitine palmitoyl transferase deficiency (II)",35,0.343,2,0.0456,1,0.357
"Ethylmalonic Encephalopathy",35,0.343,2,0.0456,1,0.357
"Glutaric Aciduria Type I",35,0.343,2,0.0456,1,0.357
"Long chain acyl-CoA dehydrogenase deficiency (LCAD)",35,0.343,2,0.0456,1,0.357
"Medium chain acyl-coa dehydrogenase deficiency (MCAD)",35,0.343,2,0.0456,1,0.357
"Short Chain Acyl CoA Dehydrogenase Deficiency (SCAD Deficiency)",35,0.343,2,0.0456,1,0.357
"Trifunctional protein deficiency",35,0.343,2,0.0456,1,0.357
"Very-long-chain acyl coa dehydrogenase deficiency (VLCAD)",35,0.343,2,0.0456,1,0.357
"Sensory Perception",203,1.99,5,0.0467,1,0.364
"Fatty acid Metabolism",36,0.353,2,0.048,1,0.369
"Biotin Metabolism",5,0.0491,1,0.0481,1,0.369
"Defective MAT1A causes MATD",5,0.0491,1,0.0481,1,0.369
"Serotonin Neurotransmitter Release Cycle",5,0.0491,1,0.0481,1,0.369
"Biotinidase Deficiency",5,0.0491,1,0.0481,1,0.369
"Multiple carboxylase deficiency, neonatal or early onset form",5,0.0491,1,0.0481,1,0.369
"Methylation pathways",5,0.0491,1,0.0481,1,0.369
"Gut-liver indole metabolism",5,0.0491,1,0.0481,1,0.369
"Mitochondrial beta-oxidation",142,1.39,4,0.049,1,0.375
"Cellular responses to stress",87,0.854,3,0.0527,1,0.402
"16p11.2 proximal deletion syndrome",39,0.383,2,0.0554,1,0.42
"Ferroptosis",39,0.383,2,0.0554,1,0.42
"Cellular responses to stimuli",89,0.873,3,0.0557,1,0.422
"Synthesis of PS",6,0.0589,1,0.0575,1,0.425
"Intracellular metabolism of fatty acids regulates insulin secretion",6,0.0589,1,0.0575,1,0.425
"Neurotransmitter uptake and metabolism In glial cells",6,0.0589,1,0.0575,1,0.425
"Astrocytic Glutamate-Glutamine Uptake And Metabolism",6,0.0589,1,0.0575,1,0.425
"Excitatory Neural Signalling Through 5-HTR 4 and Serotonin",6,0.0589,1,0.0575,1,0.425
"Excitatory Neural Signalling Through 5-HTR 6 and Serotonin",6,0.0589,1,0.0575,1,0.425
"Excitatory Neural Signalling Through 5-HTR 7 and Serotonin",6,0.0589,1,0.0575,1,0.425
"Fragile X syndrome",6,0.0589,1,0.0575,1,0.425
"Serotonin HTR1 group and FOS pathway",6,0.0589,1,0.0575,1,0.425
"MTOR signaling",6,0.0589,1,0.0575,1,0.425
"G alpha (i) signaling events",91,0.893,3,0.0588,1,0.434
"Class A/1 (Rhodopsin-like receptors)",154,1.51,4,0.0626,1,0.46
"Metabolism of nucleotides",154,1.51,4,0.0626,1,0.46
"Glucose metabolism",42,0.412,2,0.0632,1,0.464
"Sensory perception of sweet, bitter, and umami (glutamate) taste",94,0.922,3,0.0636,1,0.466
"Immune System",155,1.52,4,0.0638,1,0.466
"Hypusine synthesis from eIF5A-lysine",7,0.0687,1,0.0667,1,0.479
"RORA activates gene expression",7,0.0687,1,0.0667,1,0.479
"BMAL1:CLOCK,NPAS2 activates circadian gene expression",7,0.0687,1,0.0667,1,0.479
"Sensory processing of sound by inner hair cells of the cochlea",7,0.0687,1,0.0667,1,0.479
"Gamma-cystathionase deficiency (CTH)",7,0.0687,1,0.0667,1,0.479
"Homocystinuria, cystathionine beta-synthase deficiency",7,0.0687,1,0.0667,1,0.479
"Monoamine GPCRs",7,0.0687,1,0.0667,1,0.479
"Roles of ceramides in development of insulin resistance",7,0.0687,1,0.0667,1,0.479
"Glycerophospholipid biosynthesis",97,0.952,3,0.0686,1,0.489
"Leishmania infection",44,0.432,2,0.0686,1,0.489
"Parasitic Infection Pathways",44,0.432,2,0.0686,1,0.489
"Sensory perception of taste",98,0.961,3,0.0703,1,0.5
"ROS and RNS production in phagocytes",46,0.451,2,0.0742,1,0.524
"Cysteine formation from homocysteine",8,0.0785,1,0.0759,1,0.524
"Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)",8,0.0785,1,0.0759,1,0.524
"Activation of gene expression by SREBF (SREBP)",8,0.0785,1,0.0759,1,0.524
"Glutamate Neurotransmitter Release Cycle",8,0.0785,1,0.0759,1,0.524
"Glutamate binding, activation of AMPA receptors and synaptic plasticity",8,0.0785,1,0.0759,1,0.524
"Conjugation of salicylate with glycine",8,0.0785,1,0.0759,1,0.524
"Conjugation of benzoate with glycine",8,0.0785,1,0.0759,1,0.524
"Homocysteine Degradation",8,0.0785,1,0.0759,1,0.524
"Carfentanil Action Pathway",8,0.0785,1,0.0759,1,0.524
"Phosphatidylethanolamine Biosynthesis",8,0.0785,1,0.0759,1,0.524
"Acrylamide biotransformation and exposure biomarkers",8,0.0785,1,0.0759,1,0.524
"Glycolysis in senescence",8,0.0785,1,0.0759,1,0.524
"Nanoparticle triggered regulated necrosis",8,0.0785,1,0.0759,1,0.524
"Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol",47,0.461,2,0.077,1,0.531
"Phospholipid metabolism",105,1.03,3,0.0827,1,0.531
"Sphingolipid metabolism: integrated pathway",49,0.481,2,0.0827,1,0.531
"Biotin transport and metabolism",9,0.0883,1,0.085,1,0.531
"Scavenging by Class F Receptors",9,0.0883,1,0.085,1,0.531
"Hydrolysis of LPC",9,0.0883,1,0.085,1,0.531
"Degradation of GABA",9,0.0883,1,0.085,1,0.531
"MTOR signalling",9,0.0883,1,0.085,1,0.531
"3-Methylthiofentanyl Action Pathway",9,0.0883,1,0.085,1,0.531
"Alfentanil Action Pathway",9,0.0883,1,0.085,1,0.531
"Alvimopan Action Pathway",9,0.0883,1,0.085,1,0.531
"Anileridine Action Pathway",9,0.0883,1,0.085,1,0.531
"Benzocaine Action Pathway",9,0.0883,1,0.085,1,0.531
"Bupivacaine Action Pathway",9,0.0883,1,0.085,1,0.531
"Buprenorphine Action Pathway",9,0.0883,1,0.085,1,0.531
"Chloroprocaine Action Pathway",9,0.0883,1,0.085,1,0.531
"Cocaine Action Pathway",9,0.0883,1,0.085,1,0.531
"Dezocine Action Pathway",9,0.0883,1,0.085,1,0.531
"Dibucaine Action Pathway",9,0.0883,1,0.085,1,0.531
"Dihydromorphine Action Pathway",9,0.0883,1,0.085,1,0.531
"Dimethylthiambutene Action Pathway",9,0.0883,1,0.085,1,0.531
"Diphenoxylate Action Pathway",9,0.0883,1,0.085,1,0.531
"Escitalopram Action Pathway",9,0.0883,1,0.085,1,0.531
"Ethylmorphine Action Pathway",9,0.0883,1,0.085,1,0.531
"Fentanyl Action Pathway",9,0.0883,1,0.085,1,0.531
"Hydrocodone Action Pathway",9,0.0883,1,0.085,1,0.531
"Hydromorphone Action Pathway",9,0.0883,1,0.085,1,0.531
"Ketobemidone  Action Pathway",9,0.0883,1,0.085,1,0.531
"Levallorphan Action Pathway",9,0.0883,1,0.085,1,0.531
"Levobupivacaine Action Pathway",9,0.0883,1,0.085,1,0.531
"Levomethadyl Acetate Action Action Pathway",9,0.0883,1,0.085,1,0.531
"Levorphanol Action Pathway",9,0.0883,1,0.085,1,0.531
"Mepivacaine Action Pathway",9,0.0883,1,0.085,1,0.531
"Methadyl Acetate Action Pathway",9,0.0883,1,0.085,1,0.531
"Nalbuphine Action Pathway",9,0.0883,1,0.085,1,0.531
"Naloxone Action Pathway",9,0.0883,1,0.085,1,0.531
"Naltrexone Action Pathway",9,0.0883,1,0.085,1,0.531
"Oxybuprocaine Action Pathway",9,0.0883,1,0.085,1,0.531
"Oxycodone Action Pathway",9,0.0883,1,0.085,1,0.531
"Oxymorphone Action Pathway",9,0.0883,1,0.085,1,0.531
"Pentazocine Action Pathway",9,0.0883,1,0.085,1,0.531
"Prilocaine Action Pathway",9,0.0883,1,0.085,1,0.531
"Procaine Action Pathway",9,0.0883,1,0.085,1,0.531
"Proparacaine Action Pathway",9,0.0883,1,0.085,1,0.531
"Propoxyphene Action Pathway",9,0.0883,1,0.085,1,0.531
"Remifentanil Action Pathway",9,0.0883,1,0.085,1,0.531
"Ropivacaine Action Pathway",9,0.0883,1,0.085,1,0.531
"Sufentanil Action Pathway",9,0.0883,1,0.085,1,0.531
"Tramadol Action Action Pathway",9,0.0883,1,0.085,1,0.531
"Nicotine effect on dopaminergic neurons",9,0.0883,1,0.085,1,0.531
"GPCRs, class A rhodopsin-like",9,0.0883,1,0.085,1,0.531
"G alpha (i) signalling events",108,1.06,3,0.0883,1,0.55
"Glycine degradation",10,0.0981,1,0.094,1,0.572
"Proline catabolism",10,0.0981,1,0.094,1,0.572
"L1CAM interactions",10,0.0981,1,0.094,1,0.572
"Sensory processing of sound",10,0.0981,1,0.094,1,0.572
"Metabolism of serotonin",10,0.0981,1,0.094,1,0.572
"Deubiquitination",10,0.0981,1,0.094,1,0.572
"Serotonin receptors",10,0.0981,1,0.094,1,0.572
"Role of carnosine in muscle contraction",10,0.0981,1,0.094,1,0.572
"Acetylcholine synthesis",10,0.0981,1,0.094,1,0.572
"Amino acid conjugation of benzoic acid",10,0.0981,1,0.094,1,0.572
"GABA receptor signaling",10,0.0981,1,0.094,1,0.572
"Modulation of PI3K-Akt-mTOR signaling by bioactive sphingolipids",10,0.0981,1,0.094,1,0.572
"Farnesyl to CoQ10 metabolism",10,0.0981,1,0.094,1,0.572
"Biosynthesis of DHA-derived SPMs",55,0.54,2,0.101,1,0.61
"Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB",11,0.108,1,0.103,1,0.61
"Regulation of cholesterol biosynthesis by SREBP (SREBF)",11,0.108,1,0.103,1,0.61
"Keratinization",11,0.108,1,0.103,1,0.61
"Formation of the cornified envelope",11,0.108,1,0.103,1,0.61
"Mitochondrial iron-sulfur cluster biogenesis",11,0.108,1,0.103,1,0.61
"The retinoid cycle in cones (daylight vision)",11,0.108,1,0.103,1,0.61
"Transcriptional regulation of white adipocyte differentiation",11,0.108,1,0.103,1,0.61
"Plasmalogen biosynthesis",11,0.108,1,0.103,1,0.61
"Platelet degranulation",11,0.108,1,0.103,1,0.61
"Heroin Action Pathway",11,0.108,1,0.103,1,0.61
"NAD metabolism in oncogene-induced senescence and mitochondrial dysfunction-associated senescence",11,0.108,1,0.103,1,0.61
"Sebaleic acid formation and metabolism",11,0.108,1,0.103,1,0.61
"Response to elevated platelet cytosolic Ca ions",11,0.108,1,0.103,1,0.61
"Taurine and Hypotaurine Metabolism",12,0.118,1,0.112,1,0.652
"Mitochondrial Uncoupling",12,0.118,1,0.112,1,0.652
"Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion",12,0.118,1,0.112,1,0.652
"Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA",12,0.118,1,0.112,1,0.652
"Serotonin clearance from the synaptic cleft",12,0.118,1,0.112,1,0.652
"Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA",12,0.118,1,0.112,1,0.652
"Thyroid hormone synthesis",12,0.118,1,0.112,1,0.652
"Disorders in ketone body synthesis",12,0.118,1,0.112,1,0.652
"Thyroxine (thyroid hormone) production",12,0.118,1,0.112,1,0.652
"Peroxisomal lipid metabolism",59,0.579,2,0.113,1,0.66
"Acyl chain remodelling of PE",13,0.128,1,0.12,1,0.69
"Response to elevated platelet cytosolic Ca2+",13,0.128,1,0.12,1,0.69
"Adrenoleukodystrophy, X-linked",13,0.128,1,0.12,1,0.69
"Carnitine-acylcarnitine translocase deficiency",13,0.128,1,0.12,1,0.69
"Lipid metabolism pathway",13,0.128,1,0.12,1,0.69
"Folate-alcohol and cancer pathway hypotheses",13,0.128,1,0.12,1,0.69
"Pluripotent stem cell differentiation pathway",13,0.128,1,0.12,1,0.69
"Phosphodiesterases in neuronal function",13,0.128,1,0.12,1,0.69
"NAD+ metabolism",13,0.128,1,0.12,1,0.69
"Vitamin K metabolism and activation of dependent proteins",13,0.128,1,0.12,1,0.69
"Innate Immune System",124,1.22,3,0.121,1,0.69
"Circadian Clock",14,0.137,1,0.129,1,0.729
"Organic anion transporters",14,0.137,1,0.129,1,0.729
"Desipramine Action Pathway",14,0.137,1,0.129,1,0.729
"Methadone Action Pathway",14,0.137,1,0.129,1,0.729
"Morphine Action Pathway",14,0.137,1,0.129,1,0.729
"Degradation pathway of sphingolipids, including diseases",14,0.137,1,0.129,1,0.729
"Disturbed pathways in Duchenne Muscular Dystrophy",14,0.137,1,0.129,1,0.729
"Visual phototransduction",64,0.628,2,0.13,1,0.731
"Scavenging by Class B Receptors",15,0.147,1,0.138,1,0.769
"Transcriptional activation of mitochondrial biogenesis",15,0.147,1,0.138,1,0.769
"Fluoxetine Action Pathway",15,0.147,1,0.138,1,0.769
"Vitamin D-sensitive calcium signaling in depression",15,0.147,1,0.138,1,0.769
"GPR143 in melanocytes and retinal pigment epithelium cells",15,0.147,1,0.138,1,0.769
"Vitamin B12 disorders",15,0.147,1,0.138,1,0.769
"Biosynthesis of unsaturated fatty acids",16,0.157,1,0.146,1,0.802
"GABA synthesis, release, reuptake and degradation",16,0.157,1,0.146,1,0.802
"Carnitine synthesis",16,0.157,1,0.146,1,0.802
"Regulation of TLR by endogenous ligand",16,0.157,1,0.146,1,0.802
"Mitochondrial biogenesis",16,0.157,1,0.146,1,0.802
"Amino Acid conjugation",16,0.157,1,0.146,1,0.802
"Conjugation of carboxylic acids",16,0.157,1,0.146,1,0.802
"Threonine and 2-Oxobutanoate Degradation",16,0.157,1,0.146,1,0.802
"Imipramine Action Pathway",16,0.157,1,0.146,1,0.802
"Biosynthesis and turnover of 1-deoxy-sphingoid bases",16,0.157,1,0.146,1,0.802
"Synthesis of bile acids and bile salts",71,0.697,2,0.153,1,0.829
"Glycerolipid Metabolism",17,0.167,1,0.155,1,0.829
"Digestion of dietary lipid",17,0.167,1,0.155,1,0.829
"Free fatty acids regulate insulin secretion",17,0.167,1,0.155,1,0.829
"PPARA activates gene expression",17,0.167,1,0.155,1,0.829
"Regulation of lipid metabolism by PPARalpha",17,0.167,1,0.155,1,0.829
"Wax and plasmalogen biosynthesis",17,0.167,1,0.155,1,0.829
"Aromatic L-Aminoacid Decarboxylase Deficiency",17,0.167,1,0.155,1,0.829
"Tyrosine hydroxylase deficiency",17,0.167,1,0.155,1,0.829
"Codeine Action Pathway",17,0.167,1,0.155,1,0.829
"D-glyceric acidura",17,0.167,1,0.155,1,0.829
"Familial lipoprotein lipase deficiency",17,0.167,1,0.155,1,0.829
"Glycerol Kinase Deficiency",17,0.167,1,0.155,1,0.829
"RAS and bradykinin pathways in COVID-19",17,0.167,1,0.155,1,0.829
"Bile acid and bile salt metabolism",72,0.706,2,0.157,1,0.839
"Methionine salvage pathway",18,0.177,1,0.163,1,0.864
"Triglyceride catabolism",18,0.177,1,0.163,1,0.864
"Heme signaling",18,0.177,1,0.163,1,0.864
"Catecholamine biosynthesis",18,0.177,1,0.163,1,0.864
"Glycolysis and gluconeogenesis",18,0.177,1,0.163,1,0.864
"Immunoregulatory interactions between lymphoid and non-lymphoid cells",18,0.177,1,0.163,1,0.864
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",19,0.186,1,0.171,1,0.901
"Melatonin metabolism and effects",19,0.186,1,0.171,1,0.901
"Orexin receptor pathway",19,0.186,1,0.171,1,0.901
"Hemesynthesis defects and porphyrias",19,0.186,1,0.171,1,0.901
"Phase II - Conjugation of compounds",146,1.43,3,0.171,1,0.901
"Selenocysteine synthesis",20,0.196,1,0.179,1,0.935
"Synthesis of UDP-N-acetyl-glucosamine",20,0.196,1,0.179,1,0.935
"Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids",20,0.196,1,0.179,1,0.935
"Lidocaine (Local Anaesthetic) Action Pathway",20,0.196,1,0.179,1,0.935
"Kennedy pathway from sphingolipids",20,0.196,1,0.179,1,0.935
"Mitochondrial fatty acid oxidation disorders",20,0.196,1,0.179,1,0.935
"Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane",21,0.206,1,0.187,1,0.966
"Beta-mercaptolactate-cysteine disulfiduria",21,0.206,1,0.187,1,0.966
"Cysteine Metabolism",21,0.206,1,0.187,1,0.966
"Cystinosis, ocular nonnephropathic",21,0.206,1,0.187,1,0.966
"Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids",21,0.206,1,0.187,1,0.966
"Cannabinoid receptor signaling",21,0.206,1,0.187,1,0.966
"Hereditary leiomyomatosis and renal cell carcinoma pathway",21,0.206,1,0.187,1,0.966
"One carbon pool by folate",22,0.216,1,0.195,1,0.997
"Inactivation, recovery and regulation of the phototransduction cascade",22,0.216,1,0.195,1,0.997
"Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids",22,0.216,1,0.195,1,0.997
"Citalopram Action Pathway",22,0.216,1,0.195,1,0.997
"Folate malabsorption, hereditary",22,0.216,1,0.195,1,0.997
"Lactate shuttle in glial cells",22,0.216,1,0.195,1,0.997
"Thiamine metabolic pathways",22,0.216,1,0.195,1,0.997
"Metabolism of steroids",157,1.54,3,0.198,1,1
"HS-GAG degradation",23,0.226,1,0.203,1,1
"RAS processing",23,0.226,1,0.203,1,1
"Cobalamin (Cbl) metabolism",23,0.226,1,0.203,1,1
"Methotrexate Action Pathway",23,0.226,1,0.203,1,1
"Regucalcin in proximal tubule epithelial kidney cells",23,0.226,1,0.203,1,1
"TCA cycle (aka Krebs or citric acid cycle)",23,0.226,1,0.203,1,1
"Melanin biosynthesis",24,0.235,1,0.211,1,1
"Synthesis of wybutosine at G37 of tRNA(Phe)",24,0.235,1,0.211,1,1
"Organelle biogenesis and maintenance",24,0.235,1,0.211,1,1
"Phospholipid Biosynthesis",25,0.245,1,0.219,1,1
"Cytoprotection by HMOX1",25,0.245,1,0.219,1,1
"TP53 Regulates Metabolic Genes",25,0.245,1,0.219,1,1
"G(M2)-Gangliosidosis: Variant B, Tay-sachs disease",25,0.245,1,0.219,1,1
"Salla Disease/Infantile Sialic Acid Storage Disease",25,0.245,1,0.219,1,1
"Sialuria or French Type Sialuria",25,0.245,1,0.219,1,1
"Tay-Sachs Disease",25,0.245,1,0.219,1,1
"G alpha (s) signaling events",25,0.245,1,0.219,1,1
"Thermogenesis",25,0.245,1,0.219,1,1
"Cori cycle",25,0.245,1,0.219,1,1
"Citric Acid Cycle",26,0.255,1,0.227,1,1
"Synthesis of very long-chain fatty acyl-CoAs",26,0.255,1,0.227,1,1
"The phototransduction cascade",26,0.255,1,0.227,1,1
"2-ketoglutarate dehydrogenase complex deficiency",26,0.255,1,0.227,1,1
"Congenital lactic acidosis",26,0.255,1,0.227,1,1
"Fumarase deficiency",26,0.255,1,0.227,1,1
"Mitochondrial complex II deficiency",26,0.255,1,0.227,1,1
"Pyruvate dehydrogenase deficiency (E2)",26,0.255,1,0.227,1,1
"Pyruvate dehydrogenase deficiency (E3)",26,0.255,1,0.227,1,1
"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation",27,0.265,1,0.234,1,1
"Sphingolipid metabolism overview",27,0.265,1,0.234,1,1
"Nicotinate and nicotinamide metabolism",28,0.275,1,0.242,1,1
"Triglyceride metabolism",28,0.275,1,0.242,1,1
"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",28,0.275,1,0.242,1,1
"Cobalamin (Cbl, vitamin B12) transport and metabolism",28,0.275,1,0.242,1,1
"Nicotine Action Pathway",28,0.275,1,0.242,1,1
"2q37 copy number variation syndrome",28,0.275,1,0.242,1,1
"Metabolism of Angiotensinogen to Angiotensins",29,0.285,1,0.249,1,1
"Enterocyte cholesterol metabolism",29,0.285,1,0.249,1,1
"G alpha (s) signalling events",30,0.294,1,0.257,1,1
"Scavenging by Class A Receptors",30,0.294,1,0.257,1,1
"The canonical retinoid cycle in rods (twilight vision)",30,0.294,1,0.257,1,1
"Gamma carboxylation, hypusine formation and arylsulfatase activation",31,0.304,1,0.264,1,1
"Neurotransmitter clearance",32,0.314,1,0.271,1,1
"Platelet activation, signaling and aggregation",32,0.314,1,0.271,1,1
"Heme biosynthesis",32,0.314,1,0.271,1,1
"The Oncogenic Action of Fumarate",32,0.314,1,0.271,1,1
"The Oncogenic Action of Succinate",32,0.314,1,0.271,1,1
"Cholesterol metabolism",32,0.314,1,0.271,1,1
"Heparan sulfate/heparin (HS-GAG) metabolism",33,0.324,1,0.279,1,1
"Retinoid metabolism and transport",33,0.324,1,0.279,1,1
"Dopamine metabolism",33,0.324,1,0.279,1,1
"Azathioprine ADME",34,0.334,1,0.286,1,1
"Amino Sugar Metabolism",35,0.343,1,0.293,1,1
"Aspirin ADME",35,0.343,1,0.293,1,1
"Glycosphingolipid metabolism",35,0.343,1,0.293,1,1
"Fatty acid beta-oxidation",35,0.343,1,0.293,1,1
"Drug ADME",110,1.08,2,0.294,1,1
"Porphyrin Metabolism",36,0.353,1,0.3,1,1
"Methylation",36,0.353,1,0.3,1,1
"Toll-like Receptor Cascades",36,0.353,1,0.3,1,1
"Acute Intermittent Porphyria",36,0.353,1,0.3,1,1
"Congenital Erythropoietic Porphyria (CEP) or Gunther Disease",36,0.353,1,0.3,1,1
"Hereditary Coproporphyria (HCP)",36,0.353,1,0.3,1,1
"Porphyria Variegata (PV)",36,0.353,1,0.3,1,1
"Regulation of insulin secretion",37,0.363,1,0.307,1,1
"Biosynthesis of specialized proresolving mediators (SPMs)",114,1.12,2,0.308,1,1
"Pyrimidine catabolism",39,0.383,1,0.32,1,1
"Transcriptional Regulation by TP53",39,0.383,1,0.32,1,1
"Binding and Uptake of Ligands by Scavenger Receptors",39,0.383,1,0.32,1,1
"mitochondrial fatty acid beta-oxidation of saturated fatty acids",39,0.383,1,0.32,1,1
"Fatty acyl-CoA biosynthesis",41,0.402,1,0.334,1,1
"Disorders of bile acid synthesis and biliary transport",41,0.402,1,0.334,1,1
"Cerivastatin Action Pathway",42,0.412,1,0.34,1,1
"Cholesteryl ester storage disease",42,0.412,1,0.34,1,1
"Desmosterolosis",42,0.412,1,0.34,1,1
"Hyper-IgD syndrome",42,0.412,1,0.34,1,1
"Hypercholesterolemia",42,0.412,1,0.34,1,1
"Lysosomal Acid Lipase Deficiency (Wolman Disease)",42,0.412,1,0.34,1,1
"Mevalonic aciduria",42,0.412,1,0.34,1,1
"Smith-Lemli-Opitz Syndrome (SLOS)",42,0.412,1,0.34,1,1
"Wolman disease",42,0.412,1,0.34,1,1
"Steroid Biosynthesis",43,0.422,1,0.347,1,1
"Metabolism of fat-soluble vitamins",43,0.422,1,0.347,1,1
"Digestion",43,0.422,1,0.347,1,1
"Alendronate Action Pathway",43,0.422,1,0.347,1,1
"Atorvastatin Action Pathway",43,0.422,1,0.347,1,1
"Ibandronate Action Pathway",43,0.422,1,0.347,1,1
