"","total","expected","hits","Raw p","Holm p","FDR"
"Adenine phosphoribosyltransferase deficiency (APRT)",66,0.678,3,0.0296,1,0.272
"Adenosine Deaminase Deficiency",66,0.678,3,0.0296,1,0.272
"Adenylosuccinate Lyase Deficiency",66,0.678,3,0.0296,1,0.272
"AICA-Ribosiduria",66,0.678,3,0.0296,1,0.272
"Gout or Kelley-Seegmiller Syndrome",66,0.678,3,0.0296,1,0.272
"Lesch-Nyhan Syndrome (LNS)",66,0.678,3,0.0296,1,0.272
"Mitochondrial DNA depletion syndrome",66,0.678,3,0.0296,1,0.272
"Molybdenum Cofactor Deficiency",66,0.678,3,0.0296,1,0.272
"Myoadenylate deaminase deficiency",66,0.678,3,0.0296,1,0.272
"Purine Nucleoside Phosphorylase Deficiency",66,0.678,3,0.0296,1,0.272
"Xanthine Dehydrogenase Deficiency (Xanthinuria)",66,0.678,3,0.0296,1,0.272
"Xanthinuria type I",66,0.678,3,0.0296,1,0.272
"Xanthinuria type II",66,0.678,3,0.0296,1,0.272
"Defective SLC36A2 causes iminoglycinuria (IG) and hyperglycinuria (HG)",3,0.0308,1,0.0305,1,0.272
"Activation of AMPA receptors",3,0.0308,1,0.0305,1,0.272
"Activation of Ca-permeable Kainate Receptor",3,0.0308,1,0.0305,1,0.272
"Activation of Na-permeable kainate receptors",3,0.0308,1,0.0305,1,0.272
"Defective SLC6A5 causes hyperekplexia 3 (HKPX3)",3,0.0308,1,0.0305,1,0.272
"UCH proteinases",3,0.0308,1,0.0305,1,0.272
"Defective GCLC causes HAGGSD",3,0.0308,1,0.0305,1,0.272
"Fas ligand pathway and stress induction of heat shock proteins",3,0.0308,1,0.0305,1,0.272
"Prader-Willi and Angelman syndrome",3,0.0308,1,0.0305,1,0.272
"Lac-Phe pathway",3,0.0308,1,0.0305,1,0.272
"Serotonin receptor 2 and ELK-SRF/GATA4 signaling",3,0.0308,1,0.0305,1,0.272
"Purine metabolism",67,0.689,3,0.0307,1,0.272
"Selenoamino acid metabolism",67,0.689,3,0.0307,1,0.272
"GABA metabolism (aka GHB)",27,0.278,2,0.0308,1,0.272
"Tyrosine metabolism",68,0.699,3,0.0319,1,0.281
"Disulfiram Action Pathway",68,0.699,3,0.0319,1,0.281
"Fatty Acid Elongation In Mitochondria",28,0.288,2,0.033,1,0.288
"Kynurenine pathway and links to cell senescence",28,0.288,2,0.033,1,0.288
"Aflatoxin activation and detoxification",29,0.298,2,0.0352,1,0.305
"Glutathione conjugation",29,0.298,2,0.0352,1,0.305
"Synthesis of Leukotrienes (LT) and Eoxins (EX)",29,0.298,2,0.0352,1,0.305
"Paracetamol ADME",30,0.308,2,0.0374,1,0.322
"Lysine catabolism",30,0.308,2,0.0374,1,0.322
"Metabolic reprogramming in pancreatic cancer",30,0.308,2,0.0374,1,0.322
"Metabolism of lipids",608,6.25,11,0.0396,1,0.333
"Gluconeogenesis",31,0.319,2,0.0398,1,0.333
"The oncogenic action of 2-hydroxyglutarate",31,0.319,2,0.0398,1,0.333
"The oncogenic action of D-2-hydroxyglutarate in  Hydroxygluaricaciduria",31,0.319,2,0.0398,1,0.333
"The oncogenic action of L-2-hydroxyglutarate in  Hydroxygluaricaciduria",31,0.319,2,0.0398,1,0.333
"GABA synthesis",4,0.0411,1,0.0405,1,0.333
"Phenylketonuria",4,0.0411,1,0.0405,1,0.333
"Oleoyl-phe metabolism",4,0.0411,1,0.0405,1,0.333
"Ionotropic activity of kainate receptors",4,0.0411,1,0.0405,1,0.333
"Activation of kainate receptors upon glutamate binding",4,0.0411,1,0.0405,1,0.333
"Defective GSS causes GSS deficiency",4,0.0411,1,0.0405,1,0.333
"Defective MAOA causes BRUNS",4,0.0411,1,0.0405,1,0.333
"Proton/oligopeptide cotransporters",4,0.0411,1,0.0405,1,0.333
"Methylhistidine Metabolism",4,0.0411,1,0.0405,1,0.333
"Common pathways underlying drug addiction",4,0.0411,1,0.0405,1,0.333
"Parkinson's disease pathway",4,0.0411,1,0.0405,1,0.333
"15q13.3 copy number variation syndrome",4,0.0411,1,0.0405,1,0.333
"TNF-alpha signaling pathway",4,0.0411,1,0.0405,1,0.333
"Histidine metabolism",34,0.349,2,0.0471,1,0.381
"Propanoate metabolism",34,0.349,2,0.0471,1,0.381
"Histidinemia",34,0.349,2,0.0471,1,0.381
"Malonic Aciduria",34,0.349,2,0.0471,1,0.381
"Malonyl-coa decarboxylase deficiency",34,0.349,2,0.0471,1,0.381
"Methylmalonic Aciduria Due to Cobalamin-Related Disorders",34,0.349,2,0.0471,1,0.381
"Metabolism of sphingolipids in ER and Golgi apparatus",34,0.349,2,0.0471,1,0.381
"Mercaptopurine Action Pathway",80,0.822,3,0.0481,1,0.388
"Platelet homeostasis",35,0.36,2,0.0496,1,0.389
"Carnitine palmitoyl transferase deficiency (I)",35,0.36,2,0.0496,1,0.389
"Carnitine palmitoyl transferase deficiency (II)",35,0.36,2,0.0496,1,0.389
"Ethylmalonic Encephalopathy",35,0.36,2,0.0496,1,0.389
"Glutaric Aciduria Type I",35,0.36,2,0.0496,1,0.389
"Long chain acyl-CoA dehydrogenase deficiency (LCAD)",35,0.36,2,0.0496,1,0.389
"Medium chain acyl-coa dehydrogenase deficiency (MCAD)",35,0.36,2,0.0496,1,0.389
"Short Chain Acyl CoA Dehydrogenase Deficiency (SCAD Deficiency)",35,0.36,2,0.0496,1,0.389
"Trifunctional protein deficiency",35,0.36,2,0.0496,1,0.389
"Very-long-chain acyl coa dehydrogenase deficiency (VLCAD)",35,0.36,2,0.0496,1,0.389
"Thioguanine Action Pathway",81,0.833,3,0.0496,1,0.389
"Biotin Metabolism",5,0.0514,1,0.0504,1,0.389
"Defective MAT1A causes MATD",5,0.0514,1,0.0504,1,0.389
"Serotonin Neurotransmitter Release Cycle",5,0.0514,1,0.0504,1,0.389
"Biotinidase Deficiency",5,0.0514,1,0.0504,1,0.389
"Multiple carboxylase deficiency, neonatal or early onset form",5,0.0514,1,0.0504,1,0.389
"Methylation pathways",5,0.0514,1,0.0504,1,0.389
"Gut-liver indole metabolism",5,0.0514,1,0.0504,1,0.389
"Hemostasis",82,0.843,3,0.0511,1,0.393
"Azathioprine Action Pathway",82,0.843,3,0.0511,1,0.393
"Fatty acid Metabolism",36,0.37,2,0.0522,1,0.4
"Sensory Perception",203,2.09,5,0.0553,1,0.423
"Mitochondrial beta-oxidation",142,1.46,4,0.0566,1,0.432
"Cellular responses to stress",87,0.894,3,0.0591,1,0.447
"Synthesis of PS",6,0.0617,1,0.0601,1,0.447
"Intracellular metabolism of fatty acids regulates insulin secretion",6,0.0617,1,0.0601,1,0.447
"Neurotransmitter uptake and metabolism In glial cells",6,0.0617,1,0.0601,1,0.447
"Astrocytic Glutamate-Glutamine Uptake And Metabolism",6,0.0617,1,0.0601,1,0.447
"Excitatory Neural Signalling Through 5-HTR 4 and Serotonin",6,0.0617,1,0.0601,1,0.447
"Excitatory Neural Signalling Through 5-HTR 6 and Serotonin",6,0.0617,1,0.0601,1,0.447
"Excitatory Neural Signalling Through 5-HTR 7 and Serotonin",6,0.0617,1,0.0601,1,0.447
"Fragile X syndrome",6,0.0617,1,0.0601,1,0.447
"Serotonin HTR1 group and FOS pathway",6,0.0617,1,0.0601,1,0.447
"MTOR signaling",6,0.0617,1,0.0601,1,0.447
"16p11.2 proximal deletion syndrome",39,0.401,2,0.0602,1,0.447
"Ferroptosis",39,0.401,2,0.0602,1,0.447
"Cellular responses to stimuli",89,0.915,3,0.0624,1,0.462
"G alpha (i) signaling events",91,0.935,3,0.0659,1,0.486
"Glucose metabolism",42,0.432,2,0.0686,1,0.505
"Hypusine synthesis from eIF5A-lysine",7,0.0719,1,0.0698,1,0.505
"RORA activates gene expression",7,0.0719,1,0.0698,1,0.505
"BMAL1:CLOCK,NPAS2 activates circadian gene expression",7,0.0719,1,0.0698,1,0.505
"Sensory processing of sound by inner hair cells of the cochlea",7,0.0719,1,0.0698,1,0.505
"Gamma-cystathionase deficiency (CTH)",7,0.0719,1,0.0698,1,0.505
"Homocystinuria, cystathionine beta-synthase deficiency",7,0.0719,1,0.0698,1,0.505
"Monoamine GPCRs",7,0.0719,1,0.0698,1,0.505
"Roles of ceramides in development of insulin resistance",7,0.0719,1,0.0698,1,0.505
"Sensory perception of sweet, bitter, and umami (glutamate) taste",94,0.966,3,0.0712,1,0.514
"Class A/1 (Rhodopsin-like receptors)",154,1.58,4,0.0719,1,0.517
"Metabolism of nucleotides",154,1.58,4,0.0719,1,0.517
"Immune System",155,1.59,4,0.0733,1,0.526
"Leishmania infection",44,0.452,2,0.0744,1,0.532
"Parasitic Infection Pathways",44,0.452,2,0.0744,1,0.532
"Glycerophospholipid biosynthesis",97,0.997,3,0.0767,1,0.547
"Sensory perception of taste",98,1.01,3,0.0785,1,0.55
"Cysteine formation from homocysteine",8,0.0822,1,0.0794,1,0.55
"Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)",8,0.0822,1,0.0794,1,0.55
"Activation of gene expression by SREBF (SREBP)",8,0.0822,1,0.0794,1,0.55
"Glutamate Neurotransmitter Release Cycle",8,0.0822,1,0.0794,1,0.55
"Glutamate binding, activation of AMPA receptors and synaptic plasticity",8,0.0822,1,0.0794,1,0.55
"Conjugation of salicylate with glycine",8,0.0822,1,0.0794,1,0.55
"Conjugation of benzoate with glycine",8,0.0822,1,0.0794,1,0.55
"Homocysteine Degradation",8,0.0822,1,0.0794,1,0.55
"Carfentanil Action Pathway",8,0.0822,1,0.0794,1,0.55
"Phosphatidylethanolamine Biosynthesis",8,0.0822,1,0.0794,1,0.55
"Acrylamide biotransformation and exposure biomarkers",8,0.0822,1,0.0794,1,0.55
"Glycolysis in senescence",8,0.0822,1,0.0794,1,0.55
"Nanoparticle triggered regulated necrosis",8,0.0822,1,0.0794,1,0.55
"ROS and RNS production in phagocytes",46,0.473,2,0.0804,1,0.555
"Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol",47,0.483,2,0.0834,1,0.557
"Biotin transport and metabolism",9,0.0925,1,0.0889,1,0.557
"Scavenging by Class F Receptors",9,0.0925,1,0.0889,1,0.557
"Hydrolysis of LPC",9,0.0925,1,0.0889,1,0.557
"Degradation of GABA",9,0.0925,1,0.0889,1,0.557
"MTOR signalling",9,0.0925,1,0.0889,1,0.557
"3-Methylthiofentanyl Action Pathway",9,0.0925,1,0.0889,1,0.557
"Alfentanil Action Pathway",9,0.0925,1,0.0889,1,0.557
"Alvimopan Action Pathway",9,0.0925,1,0.0889,1,0.557
"Anileridine Action Pathway",9,0.0925,1,0.0889,1,0.557
"Benzocaine Action Pathway",9,0.0925,1,0.0889,1,0.557
"Bupivacaine Action Pathway",9,0.0925,1,0.0889,1,0.557
"Buprenorphine Action Pathway",9,0.0925,1,0.0889,1,0.557
"Chloroprocaine Action Pathway",9,0.0925,1,0.0889,1,0.557
"Cocaine Action Pathway",9,0.0925,1,0.0889,1,0.557
"Dezocine Action Pathway",9,0.0925,1,0.0889,1,0.557
"Dibucaine Action Pathway",9,0.0925,1,0.0889,1,0.557
"Dihydromorphine Action Pathway",9,0.0925,1,0.0889,1,0.557
"Dimethylthiambutene Action Pathway",9,0.0925,1,0.0889,1,0.557
"Diphenoxylate Action Pathway",9,0.0925,1,0.0889,1,0.557
"Escitalopram Action Pathway",9,0.0925,1,0.0889,1,0.557
"Ethylmorphine Action Pathway",9,0.0925,1,0.0889,1,0.557
"Fentanyl Action Pathway",9,0.0925,1,0.0889,1,0.557
"Hydrocodone Action Pathway",9,0.0925,1,0.0889,1,0.557
"Hydromorphone Action Pathway",9,0.0925,1,0.0889,1,0.557
"Ketobemidone  Action Pathway",9,0.0925,1,0.0889,1,0.557
"Levallorphan Action Pathway",9,0.0925,1,0.0889,1,0.557
"Levobupivacaine Action Pathway",9,0.0925,1,0.0889,1,0.557
"Levomethadyl Acetate Action Action Pathway",9,0.0925,1,0.0889,1,0.557
"Levorphanol Action Pathway",9,0.0925,1,0.0889,1,0.557
"Mepivacaine Action Pathway",9,0.0925,1,0.0889,1,0.557
"Methadyl Acetate Action Pathway",9,0.0925,1,0.0889,1,0.557
"Nalbuphine Action Pathway",9,0.0925,1,0.0889,1,0.557
"Naloxone Action Pathway",9,0.0925,1,0.0889,1,0.557
"Naltrexone Action Pathway",9,0.0925,1,0.0889,1,0.557
"Oxybuprocaine Action Pathway",9,0.0925,1,0.0889,1,0.557
"Oxycodone Action Pathway",9,0.0925,1,0.0889,1,0.557
"Oxymorphone Action Pathway",9,0.0925,1,0.0889,1,0.557
"Pentazocine Action Pathway",9,0.0925,1,0.0889,1,0.557
"Prilocaine Action Pathway",9,0.0925,1,0.0889,1,0.557
"Procaine Action Pathway",9,0.0925,1,0.0889,1,0.557
"Proparacaine Action Pathway",9,0.0925,1,0.0889,1,0.557
"Propoxyphene Action Pathway",9,0.0925,1,0.0889,1,0.557
"Remifentanil Action Pathway",9,0.0925,1,0.0889,1,0.557
"Ropivacaine Action Pathway",9,0.0925,1,0.0889,1,0.557
"Sufentanil Action Pathway",9,0.0925,1,0.0889,1,0.557
"Tramadol Action Action Pathway",9,0.0925,1,0.0889,1,0.557
"Nicotine effect on dopaminergic neurons",9,0.0925,1,0.0889,1,0.557
"GPCRs, class A rhodopsin-like",9,0.0925,1,0.0889,1,0.557
"Sphingolipid metabolism: integrated pathway",49,0.504,2,0.0896,1,0.561
"Phospholipid metabolism",105,1.08,3,0.0922,1,0.576
"Glycine degradation",10,0.103,1,0.0983,1,0.598
"Proline catabolism",10,0.103,1,0.0983,1,0.598
"L1CAM interactions",10,0.103,1,0.0983,1,0.598
"Sensory processing of sound",10,0.103,1,0.0983,1,0.598
"Metabolism of serotonin",10,0.103,1,0.0983,1,0.598
"Deubiquitination",10,0.103,1,0.0983,1,0.598
"Serotonin receptors",10,0.103,1,0.0983,1,0.598
"Role of carnosine in muscle contraction",10,0.103,1,0.0983,1,0.598
"Acetylcholine synthesis",10,0.103,1,0.0983,1,0.598
"Amino acid conjugation of benzoic acid",10,0.103,1,0.0983,1,0.598
"GABA receptor signaling",10,0.103,1,0.0983,1,0.598
"Modulation of PI3K-Akt-mTOR signaling by bioactive sphingolipids",10,0.103,1,0.0983,1,0.598
"Farnesyl to CoQ10 metabolism",10,0.103,1,0.0983,1,0.598
"G alpha (i) signalling events",108,1.11,3,0.0983,1,0.598
"Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB",11,0.113,1,0.108,1,0.639
"Regulation of cholesterol biosynthesis by SREBP (SREBF)",11,0.113,1,0.108,1,0.639
"Keratinization",11,0.113,1,0.108,1,0.639
"Formation of the cornified envelope",11,0.113,1,0.108,1,0.639
"Mitochondrial iron-sulfur cluster biogenesis",11,0.113,1,0.108,1,0.639
"The retinoid cycle in cones (daylight vision)",11,0.113,1,0.108,1,0.639
"Transcriptional regulation of white adipocyte differentiation",11,0.113,1,0.108,1,0.639
"Plasmalogen biosynthesis",11,0.113,1,0.108,1,0.639
"Platelet degranulation",11,0.113,1,0.108,1,0.639
"Heroin Action Pathway",11,0.113,1,0.108,1,0.639
"NAD metabolism in oncogene-induced senescence and mitochondrial dysfunction-associated senescence",11,0.113,1,0.108,1,0.639
"Sebaleic acid formation and metabolism",11,0.113,1,0.108,1,0.639
"Response to elevated platelet cytosolic Ca ions",11,0.113,1,0.108,1,0.639
"Biosynthesis of DHA-derived SPMs",55,0.565,2,0.109,1,0.646
"Taurine and Hypotaurine Metabolism",12,0.123,1,0.117,1,0.682
"Mitochondrial Uncoupling",12,0.123,1,0.117,1,0.682
"Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion",12,0.123,1,0.117,1,0.682
"Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA",12,0.123,1,0.117,1,0.682
"Serotonin clearance from the synaptic cleft",12,0.123,1,0.117,1,0.682
"Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA",12,0.123,1,0.117,1,0.682
"Thyroid hormone synthesis",12,0.123,1,0.117,1,0.682
"Disorders in ketone body synthesis",12,0.123,1,0.117,1,0.682
"Thyroxine (thyroid hormone) production",12,0.123,1,0.117,1,0.682
"Peroxisomal lipid metabolism",59,0.606,2,0.122,1,0.713
"Acyl chain remodelling of PE",13,0.134,1,0.126,1,0.721
"Response to elevated platelet cytosolic Ca2+",13,0.134,1,0.126,1,0.721
"Adrenoleukodystrophy, X-linked",13,0.134,1,0.126,1,0.721
"Carnitine-acylcarnitine translocase deficiency",13,0.134,1,0.126,1,0.721
"Lipid metabolism pathway",13,0.134,1,0.126,1,0.721
"Folate-alcohol and cancer pathway hypotheses",13,0.134,1,0.126,1,0.721
"Pluripotent stem cell differentiation pathway",13,0.134,1,0.126,1,0.721
"Phosphodiesterases in neuronal function",13,0.134,1,0.126,1,0.721
"NAD+ metabolism",13,0.134,1,0.126,1,0.721
"Vitamin K metabolism and activation of dependent proteins",13,0.134,1,0.126,1,0.721
"Innate Immune System",124,1.27,3,0.134,1,0.761
"Circadian Clock",14,0.144,1,0.135,1,0.761
"Organic anion transporters",14,0.144,1,0.135,1,0.761
"Desipramine Action Pathway",14,0.144,1,0.135,1,0.761
"Methadone Action Pathway",14,0.144,1,0.135,1,0.761
"Morphine Action Pathway",14,0.144,1,0.135,1,0.761
"Degradation pathway of sphingolipids, including diseases",14,0.144,1,0.135,1,0.761
"Disturbed pathways in Duchenne Muscular Dystrophy",14,0.144,1,0.135,1,0.761
"Regulation of Wnt / B-catenin signaling by small molecule compounds",14,0.144,1,0.135,1,0.761
"Visual phototransduction",64,0.658,2,0.14,1,0.787
"Scavenging by Class B Receptors",15,0.154,1,0.144,1,0.801
"Transcriptional activation of mitochondrial biogenesis",15,0.154,1,0.144,1,0.801
"Fluoxetine Action Pathway",15,0.154,1,0.144,1,0.801
"Vitamin D-sensitive calcium signaling in depression",15,0.154,1,0.144,1,0.801
"GPR143 in melanocytes and retinal pigment epithelium cells",15,0.154,1,0.144,1,0.801
"Vitamin B12 disorders",15,0.154,1,0.144,1,0.801
"Biosynthesis of unsaturated fatty acids",16,0.164,1,0.153,1,0.836
"GABA synthesis, release, reuptake and degradation",16,0.164,1,0.153,1,0.836
"Carnitine synthesis",16,0.164,1,0.153,1,0.836
"Regulation of TLR by endogenous ligand",16,0.164,1,0.153,1,0.836
"Mitochondrial biogenesis",16,0.164,1,0.153,1,0.836
"Amino Acid conjugation",16,0.164,1,0.153,1,0.836
"Conjugation of carboxylic acids",16,0.164,1,0.153,1,0.836
"Threonine and 2-Oxobutanoate Degradation",16,0.164,1,0.153,1,0.836
"Imipramine Action Pathway",16,0.164,1,0.153,1,0.836
"Biosynthesis and turnover of 1-deoxy-sphingoid bases",16,0.164,1,0.153,1,0.836
"Glycerolipid Metabolism",17,0.175,1,0.161,1,0.866
"Digestion of dietary lipid",17,0.175,1,0.161,1,0.866
"Free fatty acids regulate insulin secretion",17,0.175,1,0.161,1,0.866
"PPARA activates gene expression",17,0.175,1,0.161,1,0.866
"Regulation of lipid metabolism by PPARalpha",17,0.175,1,0.161,1,0.866
"Wax and plasmalogen biosynthesis",17,0.175,1,0.161,1,0.866
"Aromatic L-Aminoacid Decarboxylase Deficiency",17,0.175,1,0.161,1,0.866
"Tyrosine hydroxylase deficiency",17,0.175,1,0.161,1,0.866
"Codeine Action Pathway",17,0.175,1,0.161,1,0.866
"D-glyceric acidura",17,0.175,1,0.161,1,0.866
"Familial lipoprotein lipase deficiency",17,0.175,1,0.161,1,0.866
"Glycerol Kinase Deficiency",17,0.175,1,0.161,1,0.866
"RAS and bradykinin pathways in COVID-19",17,0.175,1,0.161,1,0.866
"Synthesis of bile acids and bile salts",71,0.73,2,0.165,1,0.883
"Bile acid and bile salt metabolism",72,0.74,2,0.169,1,0.901
"Methionine salvage pathway",18,0.185,1,0.17,1,0.901
"Triglyceride catabolism",18,0.185,1,0.17,1,0.901
"Heme signaling",18,0.185,1,0.17,1,0.901
"Catecholamine biosynthesis",18,0.185,1,0.17,1,0.901
"Glycolysis and gluconeogenesis",18,0.185,1,0.17,1,0.901
"Immunoregulatory interactions between lymphoid and non-lymphoid cells",18,0.185,1,0.17,1,0.901
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",19,0.195,1,0.179,1,0.94
"Melatonin metabolism and effects",19,0.195,1,0.179,1,0.94
"Orexin receptor pathway",19,0.195,1,0.179,1,0.94
"Hemesynthesis defects and porphyrias",19,0.195,1,0.179,1,0.94
"Selenocysteine synthesis",20,0.206,1,0.187,1,0.975
"Synthesis of UDP-N-acetyl-glucosamine",20,0.206,1,0.187,1,0.975
"Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids",20,0.206,1,0.187,1,0.975
"Lidocaine (Local Anaesthetic) Action Pathway",20,0.206,1,0.187,1,0.975
"Kennedy pathway from sphingolipids",20,0.206,1,0.187,1,0.975
"Mitochondrial fatty acid oxidation disorders",20,0.206,1,0.187,1,0.975
"Phase II - Conjugation of compounds",146,1.5,3,0.188,1,0.981
"Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane",21,0.216,1,0.195,1,1
"Beta-mercaptolactate-cysteine disulfiduria",21,0.216,1,0.195,1,1
"Cysteine Metabolism",21,0.216,1,0.195,1,1
"Cystinosis, ocular nonnephropathic",21,0.216,1,0.195,1,1
"Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids",21,0.216,1,0.195,1,1
"Cannabinoid receptor signaling",21,0.216,1,0.195,1,1
"Hereditary leiomyomatosis and renal cell carcinoma pathway",21,0.216,1,0.195,1,1
"One carbon pool by folate",22,0.226,1,0.204,1,1
"Inactivation, recovery and regulation of the phototransduction cascade",22,0.226,1,0.204,1,1
"Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids",22,0.226,1,0.204,1,1
"Citalopram Action Pathway",22,0.226,1,0.204,1,1
"Folate malabsorption, hereditary",22,0.226,1,0.204,1,1
"Lactate shuttle in glial cells",22,0.226,1,0.204,1,1
"Thiamine metabolic pathways",22,0.226,1,0.204,1,1
"HS-GAG degradation",23,0.236,1,0.212,1,1
"RAS processing",23,0.236,1,0.212,1,1
"Cobalamin (Cbl) metabolism",23,0.236,1,0.212,1,1
"Methotrexate Action Pathway",23,0.236,1,0.212,1,1
"Regucalcin in proximal tubule epithelial kidney cells",23,0.236,1,0.212,1,1
"TCA cycle (aka Krebs or citric acid cycle)",23,0.236,1,0.212,1,1
"Metabolism of steroids",157,1.61,3,0.218,1,1
"Melanin biosynthesis",24,0.247,1,0.22,1,1
"Synthesis of wybutosine at G37 of tRNA(Phe)",24,0.247,1,0.22,1,1
"Organelle biogenesis and maintenance",24,0.247,1,0.22,1,1
"Phospholipid Biosynthesis",25,0.257,1,0.228,1,1
"Cytoprotection by HMOX1",25,0.257,1,0.228,1,1
"TP53 Regulates Metabolic Genes",25,0.257,1,0.228,1,1
"G(M2)-Gangliosidosis: Variant B, Tay-sachs disease",25,0.257,1,0.228,1,1
"Salla Disease/Infantile Sialic Acid Storage Disease",25,0.257,1,0.228,1,1
"Sialuria or French Type Sialuria",25,0.257,1,0.228,1,1
"Tay-Sachs Disease",25,0.257,1,0.228,1,1
"G alpha (s) signaling events",25,0.257,1,0.228,1,1
"Thermogenesis",25,0.257,1,0.228,1,1
"Cori cycle",25,0.257,1,0.228,1,1
"Citric Acid Cycle",26,0.267,1,0.236,1,1
"Synthesis of very long-chain fatty acyl-CoAs",26,0.267,1,0.236,1,1
"The phototransduction cascade",26,0.267,1,0.236,1,1
"2-ketoglutarate dehydrogenase complex deficiency",26,0.267,1,0.236,1,1
"Congenital lactic acidosis",26,0.267,1,0.236,1,1
"Fumarase deficiency",26,0.267,1,0.236,1,1
"Mitochondrial complex II deficiency",26,0.267,1,0.236,1,1
"Pyruvate dehydrogenase deficiency (E2)",26,0.267,1,0.236,1,1
"Pyruvate dehydrogenase deficiency (E3)",26,0.267,1,0.236,1,1
"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation",27,0.278,1,0.244,1,1
"Sphingolipid metabolism overview",27,0.278,1,0.244,1,1
"Nicotinate and nicotinamide metabolism",28,0.288,1,0.252,1,1
"Triglyceride metabolism",28,0.288,1,0.252,1,1
"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",28,0.288,1,0.252,1,1
"Cobalamin (Cbl, vitamin B12) transport and metabolism",28,0.288,1,0.252,1,1
"Nicotine Action Pathway",28,0.288,1,0.252,1,1
"2q37 copy number variation syndrome",28,0.288,1,0.252,1,1
"Metabolism of Angiotensinogen to Angiotensins",29,0.298,1,0.26,1,1
"Enterocyte cholesterol metabolism",29,0.298,1,0.26,1,1
"G alpha (s) signalling events",30,0.308,1,0.267,1,1
"Scavenging by Class A Receptors",30,0.308,1,0.267,1,1
"The canonical retinoid cycle in rods (twilight vision)",30,0.308,1,0.267,1,1
"Gamma carboxylation, hypusine formation and arylsulfatase activation",31,0.319,1,0.275,1,1
"Neurotransmitter clearance",32,0.329,1,0.282,1,1
"Platelet activation, signaling and aggregation",32,0.329,1,0.282,1,1
"Heme biosynthesis",32,0.329,1,0.282,1,1
"The Oncogenic Action of Fumarate",32,0.329,1,0.282,1,1
"The Oncogenic Action of Succinate",32,0.329,1,0.282,1,1
"Cholesterol metabolism",32,0.329,1,0.282,1,1
"Heparan sulfate/heparin (HS-GAG) metabolism",33,0.339,1,0.29,1,1
"Retinoid metabolism and transport",33,0.339,1,0.29,1,1
"Dopamine metabolism",33,0.339,1,0.29,1,1
"Azathioprine ADME",34,0.349,1,0.297,1,1
"Amino Sugar Metabolism",35,0.36,1,0.304,1,1
"Aspirin ADME",35,0.36,1,0.304,1,1
"Glycosphingolipid metabolism",35,0.36,1,0.304,1,1
"Fatty acid beta-oxidation",35,0.36,1,0.304,1,1
"Porphyrin Metabolism",36,0.37,1,0.312,1,1
"Methylation",36,0.37,1,0.312,1,1
"Toll-like Receptor Cascades",36,0.37,1,0.312,1,1
"Acute Intermittent Porphyria",36,0.37,1,0.312,1,1
"Congenital Erythropoietic Porphyria (CEP) or Gunther Disease",36,0.37,1,0.312,1,1
"Hereditary Coproporphyria (HCP)",36,0.37,1,0.312,1,1
"Porphyria Variegata (PV)",36,0.37,1,0.312,1,1
"Drug ADME",110,1.13,2,0.313,1,1
"Regulation of insulin secretion",37,0.38,1,0.319,1,1
"Biosynthesis of specialized proresolving mediators (SPMs)",114,1.17,2,0.328,1,1
"Pyrimidine catabolism",39,0.401,1,0.333,1,1
"Transcriptional Regulation by TP53",39,0.401,1,0.333,1,1
"Binding and Uptake of Ligands by Scavenger Receptors",39,0.401,1,0.333,1,1
"mitochondrial fatty acid beta-oxidation of saturated fatty acids",39,0.401,1,0.333,1,1
"Fatty acyl-CoA biosynthesis",41,0.421,1,0.347,1,1
"Disorders of bile acid synthesis and biliary transport",41,0.421,1,0.347,1,1
"Cerivastatin Action Pathway",42,0.432,1,0.353,1,1
"Cholesteryl ester storage disease",42,0.432,1,0.353,1,1
"Desmosterolosis",42,0.432,1,0.353,1,1
"Hyper-IgD syndrome",42,0.432,1,0.353,1,1
"Hypercholesterolemia",42,0.432,1,0.353,1,1
"Lysosomal Acid Lipase Deficiency (Wolman Disease)",42,0.432,1,0.353,1,1
"Mevalonic aciduria",42,0.432,1,0.353,1,1
"Smith-Lemli-Opitz Syndrome (SLOS)",42,0.432,1,0.353,1,1
"Wolman disease",42,0.432,1,0.353,1,1
"Steroid Biosynthesis",43,0.442,1,0.36,1,1
"Metabolism of fat-soluble vitamins",43,0.442,1,0.36,1,1
"Digestion",43,0.442,1,0.36,1,1
"Alendronate Action Pathway",43,0.442,1,0.36,1,1
"Atorvastatin Action Pathway",43,0.442,1,0.36,1,1
